,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
2206,Fast & Furious Spy Racers,fast  furious spy racers,Yes,12/17/21,3200000,286.0,700000,2019,SHOW,"['family', 'animation', 'action', 'drama', 'comedy', 'crime']",['US'],5.7,1467.0,57.899,6.946,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,TV-Y7,24,6.0
2209,Snabba Cash,snabba cash,Yes,4/7/21,3100000,261.0,700000,2021,SHOW,"['crime', 'drama', 'thriller', 'action']",['SE'],7.6,8380.0,6.964,7.1,"The entrepreneurial jet set and the criminal world are more brutal, chaotic, and ruthless than ever. When these two worlds collide, loyalty, friendships, and business partners will be tested in the never-ending quest for easy money.",TV-MA,43,2.0
2210,The Chosen One,the chosen one,Yes,8/16/23,3100000,259.0,700000,2019,SHOW,"['thriller', 'drama']",['BR'],5.7,701.0,7.873,8.2,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.",TV-MA,44,2.0
2211,Monsters Inside: The 24 Faces of Billy Milligan,monsters inside,Yes,9/22/21,3000000,243.0,700000,2021,SHOW,"['documentation', 'crime']",[],6.2,3397.0,16.88,7.2,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",TV-MA,61,1.0
2217,Heist,heist,Yes,7/14/21,2900000,260.0,700000,2021,SHOW,"['crime', 'documentation']",['US'],6.8,1748.0,5.935,6.9,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,TV-MA,43,1.0
2218,Love & Anarchy,love  anarchy,Yes,11/4/20,2900000,235.0,700000,2020,SHOW,"['comedy', 'drama', 'romance']",['SE'],7.4,7896.0,13.59,7.3,A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,TV-MA,31,2.0
2219,True Story,true story,Yes,11/24/21,2900000,259.0,700000,2021,SHOW,"['drama', 'thriller', 'comedy', 'crime']",['US'],7.4,17567.0,42.104,7.2,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.,TV-MA,39,1.0
2220,World's Most Wanted,worlds most wanted,Yes,8/5/20,2900000,235.0,700000,2020,SHOW,"['documentation', 'crime']",['US'],7.1,2532.0,3.723,8.0,Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles some of the world’s most wanted.,TV-14,47,1.0
2223,God's Favorite Idiot,gods favorite idiot,Yes,6/15/22,2500000,214.0,700000,2022,SHOW,"['comedy', 'fantasy']",['US'],5.7,4196.0,7.322,7.0,"Clark Thompson, a midlevel tech-support employee, finds love with co-worker Amily Luck at exactly the same time he becomes the unwitting messenger of God. Also, there's rollerskating, a lake of fire and an impending apocalypse.",TV-MA,27,1.0
2225,The Kominsky Method,the kominsky method,Yes,11/16/18,2400000,210.0,700000,2018,SHOW,"['drama', 'comedy']",['US'],8.2,38900.0,18.106,7.6,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",TV-MA,26,3.0
